	Years	KSMX	KEDW	KRBL	KSMO	KFUL	KLAX	PADK	PADQ	PANT	KNZY	KSNA	KLGB	KOXR	KVBG	KNUQ	KSFO	KOAK	KRIV	KAPC	KNJK	KAST	KSBA	KOTH	KSUU	KSNS	KLAS	KNUC	KRDD	KACV	KHHR	KTOA	KLVK	KSAN	KAVX	CYAZ	KMYF	KUKI	KCRQ	KMRY	KFHR	KSEE	KCEC	KSIT	PAHO	KNFG	KPSP	KNSI	KNRS	KSJC	KUIL	KFAT	KNTD	KBUR	PYAK	PACD	KNKX	KVNY
20	1970	23.366013071895424	0.0	N/A	N/A	N/A	26.96078431372549	N/A	N/A	N/A	N/A	25.45757071547421	N/A	N/A	44.11764705882353	16.503267973856207	18.627450980392158	23.202614379084967	9.640522875816995	N/A	N/A	36.9281045751634	N/A	31.372549019607842	N/A	N/A	N/A	N/A	N/A	49.18300653594771	N/A	N/A	N/A	33.49673202614379	N/A	36.27450980392157	N/A	N/A	N/A	37.091503267973856	N/A	N/A	N/A	N/A	10.801963993453354	N/A	N/A	33.68606701940035	38.59348198970841	14.950166112956811	42.48366013071895	N/A	39.21568627450981	N/A	62.745098039215684	74.01960784313727	N/A	N/A
21	1971	23.52941176470588	0.16339869281045752	N/A	N/A	N/A	25.816993464052292	N/A	N/A	N/A	N/A	31.155778894472363	N/A	N/A	45.723684210526315	17.483660130718953	21.405228758169933	25.326797385620914	13.19073083778966	N/A	N/A	39.705882352941174	N/A	35.45751633986928	N/A	N/A	N/A	N/A	N/A	51.470588235294116	N/A	N/A	N/A	37.908496732026144	N/A	40.19607843137255	N/A	N/A	N/A	37.908496732026144	N/A	N/A	N/A	N/A	21.405228758169933	N/A	N/A	37.34513274336283	41.796200345423145	16.0	47.05882352941176	N/A	37.908496732026144	N/A	65.19607843137256	81.86274509803921	N/A	N/A
22	1972	25.816993464052292	0.0	N/A	N/A	N/A	24.34640522875817	N/A	N/A	N/A	N/A	29.761904761904763	N/A	N/A	41.17647058823529	17.320261437908496	19.444444444444446	25.49019607843137	11.872909698996656	N/A	N/A	37.58169934640523	N/A	32.02614379084967	N/A	N/A	N/A	N/A	N/A	57.6797385620915	N/A	N/A	N/A	32.35294117647059	N/A	36.60130718954248	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12.92962356792144	N/A	N/A	37.03703703703704	32.8125	15.2317880794702	42.3202614379085	0.16339869281045752	31.862745098039213	N/A	59.967320261437905	75.65359477124183	N/A	N/A
23	1973	31.5359477124183	0.16806722689075632	1.8062397372742198	N/A	48.86877828054298	40.849673202614376	80.3921568627451	52.94117647058824	37.453183520599254	49.673202614379086	50.51975051975052	38.0718954248366	56.88729874776386	54.084967320261434	13.071895424836603	17.81045751633987	23.856209150326798	14.072847682119205	N/A	N/A	42.15686274509804	44.04145077720207	N/A	1.0256410256410255	N/A	0.0	66.50326797385621	N/A	50.49019607843137	51.124744376278116	44.35643564356436	N/A	46.568627450980394	N/A	N/A	N/A	4.745762711864407	46.20811287477954	40.99485420240137	N/A	27.51798561151079	46.03448275862069	N/A	12.745098039215685	36.44859813084112	0.0	48.77622377622377	51.02040816326531	13.513513513513514	50.49019607843137	0.0	58.496732026143796	37.65281173594132	53.431372549019606	77.61437908496733	N/A	29.43722943722944
24	1974	29.08496732026144	0.0	1.7973856209150325	N/A	39.361702127659576	36.11111111111111	81.20915032679738	42.459016393442624	39.46280991735537	44.6078431372549	42.973523421588595	31.58756137479542	48.704663212435236	53.75816993464052	16.503267973856207	20.751633986928105	28.594771241830063	14.416058394160583	N/A	N/A	41.993464052287585	36.11111111111111	N/A	1.8062397372742198	N/A	0.0	64.70588235294117	1.7482517482517483	50.0	41.040462427745666	36.822429906542055	N/A	41.33986928104575	31.22923588039867	N/A	N/A	4.737732656514383	39.721254355400696	42.15017064846416	N/A	21.53846153846154	45.67062818336163	50.11135857461024	9.967320261437909	30.935251798561154	0.17094017094017094	43.936731107205624	48.797250859106526	16.580310880829018	47.549019607843135	0.0	49.01960784313725	31.25	51.79738562091504	82.51633986928104	N/A	26.045627376425855
25	1975	35.95706618962433	0.0	1.5332197614991483	N/A	40.7673860911271	39.698492462311556	82.35294117647058	47.049180327868854	45.10489510489511	44.771241830065364	46.035242290748904	29.08496732026144	52.57731958762887	59.361702127659576	16.666666666666664	24.094202898550723	29.411764705882355	15.630550621669629	N/A	N/A	42.50411861614498	39.21568627450981	N/A	2.287581699346405	N/A	0.0	71.73202614379085	2.051282051282051	50.65359477124183	46.70912951167728	40.04024144869216	N/A	41.33986928104575	41.711229946524064	N/A	N/A	4.873949579831933	43.77224199288256	46.666666666666664	N/A	22.61904761904762	48.797250859106526	60.36363636363637	17.18494271685761	36.36363636363637	0.0	N/A	48.47457627118644	17.504332755632582	54.51559934318555	0.17543859649122806	53.59477124183007	30.48780487804878	60.46128500823723	75.16339869281046	N/A	24.29718875502008
26	1976	26.797385620915033	0.16611295681063123	2.450980392156863	N/A	36.96969696969697	29.901960784313726	86.27450980392157	52.77777777777778	52.46800731261426	40.68627450980392	42.322834645669296	26.797385620915033	36.68430335097001	41.627906976744185	11.437908496732026	22.22222222222222	23.856209150326798	14.238952536824879	N/A	N/A	35.947712418300654	29.575163398692812	N/A	1.495016611295681	N/A	0.16339869281045752	58.82352941176471	1.9064124783362217	45.751633986928105	38.55421686746988	32.751937984496124	N/A	36.9281045751634	N/A	N/A	N/A	7.627118644067797	39.73634651600753	31.818181818181817	N/A	27.36660929432014	42.80762564991335	43.643263757115754	11.928104575163399	33.147632311977716	0.8928571428571428	42.03152364273205	46.96707105719237	12.216404886561955	49.34640522875817	0.6535947712418301	38.23529411764706	29.375	46.568627450980394	80.55555555555556	N/A	23.55072463768116
27	1977	21.405228758169933	0.9803921568627451	6.699346405228758	N/A	34.146341463414636	29.248366013071898	81.20915032679738	37.58169934640523	39.010989010989015	37.58169934640523	35.387673956262425	23.692810457516337	32.32142857142858	39.443155452436194	15.359477124183007	22.712418300653596	26.96078431372549	12.581699346405228	N/A	N/A	45.26143790849673	24.673202614379086	37.908496732026144	3.9215686274509802	N/A	0.6535947712418301	54.248366013071895	5.381944444444445	47.712418300653596	32.1285140562249	29.71887550200803	12.56637168141593	30.392156862745097	N/A	N/A	N/A	12.436974789915967	35.842293906810035	32.92894280762565	N/A	24.9554367201426	42.71186440677966	38.879456706281836	14.238952536824879	30.52109181141439	0.34965034965034963	32.89689034369886	39.86013986013986	13.013698630136986	53.92156862745098	0.16339869281045752	39.052287581699346	24.171539961013643	29.248366013071898	74.18300653594771	N/A	24.15026833631485
28	1978	19.77124183006536	0.0	1.6339869281045754	N/A	21.982758620689655	23.366013071895424	81.86274509803921	43.4640522875817	35.03649635036496	26.96078431372549	23.92241379310345	17.973856209150327	31.147540983606557	35.280373831775705	9.15032679738562	13.562091503267974	15.359477124183007	6.844741235392321	N/A	N/A	43.790849673202615	21.73202614379085	32.35294117647059	0.6535947712418301	N/A	0.16339869281045752	46.40522875816993	1.3961605584642234	43.627450980392155	23.728813559322035	21.50101419878296	6.343283582089552	26.633986928104576	N/A	41.08019639934534	N/A	5.993150684931506	30.0	27.79783393501805	N/A	18.34862385321101	38.9948006932409	49.63636363636363	16.33986928104575	25.6797583081571	0.0	29.411764705882355	30.796460176991154	8.741258741258742	57.02614379084967	0.9819967266775778	33.49673202614379	15.505617977528091	52.28758169934641	68.4640522875817	N/A	11.929824561403509
29	1979	23.202614379084967	0.0	1.7973856209150325	N/A	30.923694779116467	27.124183006535947	87.25490196078431	41.66666666666667	36.996336996337	37.254901960784316	34.38155136268344	21.895424836601308	33.035714285714285	44.626168224299064	12.091503267973856	17.15686274509804	23.202614379084967	16.2109375	N/A	N/A	32.51633986928105	26.782608695652172	30.555555555555557	2.287581699346405	N/A	0.6535947712418301	50.54466230936819	1.5384615384615385	37.908496732026144	29.65779467680608	27.906976744186046	N/A	33.98692810457516	N/A	44.33497536945813	N/A	5.110732538330494	38.671875	30.956521739130434	N/A	24.912280701754387	36.83304647160069	46.62045060658579	16.33986928104575	27.297297297297295	1.0526315789473684	31.699346405228756	37.5886524822695	10.642201834862385	50.0	0.16339869281045752	36.11111111111111	23.076923076923077	66.01307189542483	69.11764705882352	N/A	18.91891891891892
